,Unnamed: 0,x,y,elevation,ssssHCP1.6f450h0.15,HCP1.6f1530h0.15,HCP1.6f5310h0.15,HCP1.6f18330h0.15,HCP1.6f63030h0.15
0,0,344123.35,4482801.47,2114.74,339.0565651,103.0854056,55.52927982,43.83225987,37.04801926
5,5,344123.35,4482801.48,2114.74,479.3406691,101.662646,60.37411631,43.72429864,37.04801926
10,10,344123.35,4482801.48,2114.74,365.0025279,103.473431,57.39267847,43.83225987,36.734053
15,15,344123.35,4482801.48,2114.74,294.2008327,100.8865952,57.39267847,44.91187218,37.04801926
20,20,344123.34,4482801.48,2114.74,290.6827361,96.74765799,57.39267847,43.40041494,37.04801926
25,25,344123.34,4482801.48,2114.74,333.7794201,99.85186092,57.7653582,44.58798849,36.734053
30,30,344123.34,4482801.48,2114.74,374.2375316,90.53925213,57.7653582,44.91187218,37.04801926
35,35,344123.35,4482801.48,2114.74,292.4417844,107.3536847,58.13803793,44.91187218,37.36198553
40,40,344123.35,4482801.48,2114.74,286.2851152,107.0950011,61.11947577,44.26410479,37.36198553
45,45,344123.34,4482801.48,2114.74,405.0208773,100.6279117,56.27463928,44.15614356,37.04801926
50,50,344123.32,4482801.49,2114.74,337.7372788,95.32489832,57.39267847,44.26410479,36.734053
55,55,344123.31,4482801.51,2114.74,330.7010855,106.4482921,55.15660009,44.48002726,37.04801926
60,60,344123.29,4482801.52,2114.75,317.9479851,106.0602668,59.25607712,45.01983341,37.04801926
65,65,344123.28,4482801.52,2114.75,248.4655762,101.2746206,58.88339739,44.48002726,37.04801926
70,70,344123.27,4482801.53,2114.75,264.7367732,116.0195845,57.39267847,44.69594972,36.734053
75,75,344123.26,4482801.53,2114.75,339.0565651,106.0602668,60.37411631,44.04818233,37.04801926
80,80,344123.2,4482801.61,2114.75,277.4898736,99.98120271,58.51071766,44.04818233,36.734053
85,85,344123.14,4482801.69,2114.76,319.2672714,102.3093549,57.01999874,43.61633741,37.04801926
90,90,344122.95,4482801.85,2114.75,248.4655762,93.90213864,55.52927982,43.07653125,36.734053
95,95,344122.77,4482802,2114.74,244.5077175,70.36193308,49.56640413,43.07653125,36.42008673
100,100,344122.55,4482802.2,2114.73,321.4660818,99.72251913,56.64731901,43.83225987,36.42008673
