Line,Sample,X,Y,Mark,Status,GPSStat,GPSalt,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1530Hz,Q_1530Hz,I_5310Hz,Q_5310Hz,I_18330Hz,Q_18330Hz,I_63030Hz,Q_63030Hz,QSum
 1,   5,   344123.35,  4482801.47,   0,0,4, 2114.74, 66603914.200,183003.9142,    4.7, 8.19542e+001, 7.71338e+002, 7.77574e+002, 7.96947e+002, 1.23379e+003, 1.48586e+003, 1.76820e+003, 4.06141e+003, 4.41074e+003, 1.18343e+004, 1.89498e+004
 1,   6,   344123.35,  4482801.47,   0,0,4, 2114.74, 66604014.200,183004.0142,    3.3, 7.45751e+001, 6.71290e+002, 7.46169e+002, 7.85778e+002, 1.17268e+003, 1.46544e+003, 1.79392e+003, 4.08854e+003, 4.32106e+003, 1.17608e+004, 1.87718e+004
 1,   7,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604114.200,183004.1142,    4.4, 6.07975e+001, 6.64791e+002, 6.79120e+002, 8.35137e+002, 1.17881e+003, 1.55731e+003, 1.84229e+003, 4.18801e+003, 4.30437e+003, 1.17225e+004, 1.89678e+004
 1,   8,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604214.200,183004.2142,    4.5, 4.33850e+001, 7.21571e+002, 6.91401e+002, 8.32010e+002, 1.25133e+003, 1.61810e+003, 1.88727e+003, 4.19152e+003, 4.40719e+003, 1.17340e+004, 1.90972e+004
 1,   9,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604314.200,183004.3142,    6.0, 5.28700e+001, 8.29870e+002, 7.14886e+002, 8.06157e+002, 1.20797e+003, 1.63884e+003, 1.87252e+003, 4.11423e+003, 4.35548e+003, 1.17035e+004, 1.90926e+004
 1,  10,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604414.200,183004.4142,    5.0, 1.44378e+002, 1.08936e+003, 7.51922e+002, 7.85783e+002, 1.16709e+003, 1.61690e+003, 1.77987e+003, 4.05044e+003, 4.40802e+003, 1.17593e+004, 1.93018e+004
 1,  11,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604514.200,183004.5142,    4.4, 3.05188e+002, 1.10396e+003, 7.70037e+002, 7.49936e+002, 1.15813e+003, 1.58796e+003, 1.77324e+003, 4.03918e+003, 4.43857e+003, 1.18434e+004, 1.93244e+004
 1,  12,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604614.200,183004.6142,    4.8, 2.78423e+002, 8.54091e+002, 7.94946e+002, 8.18284e+002, 1.16466e+003, 1.59944e+003, 1.81794e+003, 4.07992e+003, 4.38081e+003, 1.18600e+004, 1.92117e+004
 1,  13,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604714.200,183004.7142,    5.5, 1.19265e+002, 7.60074e+002, 8.52028e+002, 8.42069e+002, 1.16105e+003, 1.60401e+003, 1.84281e+003, 4.10076e+003, 4.37218e+003, 1.18141e+004, 1.91210e+004
 1,  14,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604814.200,183004.8142,    4.6, 1.29685e+002, 8.29031e+002, 8.68487e+002, 8.22369e+002, 1.11507e+003, 1.58039e+003, 1.83105e+003, 4.06440e+003, 4.41696e+003, 1.17071e+004, 1.90033e+004
 1,  15,   344123.35,  4482801.48,   0,0,4, 2114.74, 66604914.200,183004.9142,    4.1, 1.52963e+002, 8.29954e+002, 8.71662e+002, 7.99648e+002, 1.07118e+003, 1.53551e+003, 1.79954e+003, 4.06383e+003, 4.47974e+003, 1.16952e+004, 1.89242e+004
 1,  16,   344123.35,  4482801.48,   0,0,4, 2114.74, 66605014.200,183005.0142,    4.6, 1.74277e+002, 7.57694e+002, 8.48966e+002, 7.85664e+002, 1.07129e+003, 1.52392e+003, 1.82730e+003, 4.10764e+003, 4.47741e+003, 1.17200e+004, 1.88949e+004
 1,  17,   344123.35,  4482801.48,   0,0,4, 2114.74, 66605114.200,183005.1142,    4.4, 2.39682e+002, 6.87444e+002, 8.02227e+002, 8.06820e+002, 1.09296e+003, 1.53816e+003, 1.85444e+003, 4.16046e+003, 4.45967e+003, 1.17221e+004, 1.89150e+004
 1,  18,   344123.35,  4482801.48,   0,0,4, 2114.74, 66605214.200,183005.2142,    4.1, 1.81200e+002, 5.84587e+002, 7.43967e+002, 8.54353e+002, 1.18522e+003, 1.55942e+003, 1.83712e+003, 4.16958e+003, 4.48660e+003, 1.17330e+004, 1.89010e+004
 1,  19,   344123.35,  4482801.48,   0,0,4, 2114.74, 66605314.200,183005.3142,    4.4, 1.19677e+002, 5.52496e+002, 6.94675e+002, 8.20421e+002, 1.26429e+003, 1.56021e+003, 1.81169e+003, 4.17778e+003, 4.47658e+003, 1.17505e+004, 1.88614e+004
 1,  20,   344123.35,  4482801.48,   0,0,4, 2114.74, 66605414.200,183005.4142,    4.6, 8.95931e+001, 6.69215e+002, 7.34263e+002, 7.80418e+002, 1.24549e+003, 1.53873e+003, 1.79817e+003, 4.15720e+003, 4.40082e+003, 1.17596e+004, 1.89052e+004
 1,  21,   344123.35,  4482801.48,   0,0,4, 2114.74, 66605514.200,183005.5142,    4.7, 7.75254e+001, 7.47553e+002, 7.66634e+002, 8.02641e+002, 1.23092e+003, 1.59317e+003, 1.80689e+003, 4.10469e+003, 4.38723e+003, 1.17673e+004, 1.90153e+004
 1,  22,   344123.35,  4482801.48,   0,0,4, 2114.74, 66605614.200,183005.6142,    4.6, 7.52013e+001, 7.32749e+002, 7.31983e+002, 8.44281e+002, 1.18326e+003, 1.58389e+003, 1.81686e+003, 4.09616e+003, 4.38674e+003, 1.17947e+004, 1.90518e+004
 1,  23,   344123.35,  4482801.48,   0,0,4, 2114.74, 66605714.200,183005.7142,    5.6, 6.80201e+001, 6.50276e+002, 7.54643e+002, 8.44090e+002, 1.18967e+003, 1.52464e+003, 1.82483e+003, 4.10675e+003, 4.45820e+003, 1.18468e+004, 1.89725e+004
 1,  24,   344123.34,  4482801.48,   0,0,4, 2114.74, 66605814.200,183005.8142,    4.7, 5.60236e+001, 6.15609e+002, 7.55990e+002, 7.99660e+002, 1.18412e+003, 1.54237e+003, 1.83217e+003, 4.03357e+003, 4.52991e+003, 1.18728e+004, 1.88640e+004
 1,  25,   344123.34,  4482801.48,   0,0,4, 2114.74, 66605914.200,183005.9142,    4.8, 3.49688e+001, 6.61427e+002, 7.06509e+002, 7.48159e+002, 1.12874e+003, 1.54237e+003, 1.82430e+003, 4.02122e+003, 4.48702e+003, 1.18004e+004, 1.87736e+004
 1,  26,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606014.200,183006.0142,    4.7, 4.76853e+001, 6.95638e+002, 7.36663e+002, 7.43242e+002, 1.13783e+003, 1.48328e+003, 1.78838e+003, 4.09275e+003, 4.42272e+003, 1.16772e+004, 1.86921e+004
 1,  27,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606114.200,183006.1142,    4.7, 6.94935e+001, 6.69916e+002, 7.84959e+002, 7.73667e+002, 1.16798e+003, 1.47742e+003, 1.74937e+003, 4.11329e+003, 4.44144e+003, 1.17059e+004, 1.87402e+004
 1,  28,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606214.200,183006.2142,    5.1, 1.98664e+001, 6.29675e+002, 7.74321e+002, 7.63559e+002, 1.18263e+003, 1.52083e+003, 1.73782e+003, 4.11309e+003, 4.43539e+003, 1.18745e+004, 1.89016e+004
 1,  29,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606314.200,183006.3142,    5.1, 1.15168e+001, 6.17339e+002, 7.04993e+002, 7.65246e+002, 1.20529e+003, 1.57205e+003, 1.80348e+003, 4.15038e+003, 4.38013e+003, 1.18001e+004, 1.89051e+004
 1,  30,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606414.200,183006.4142,    4.9, 7.82948e+001, 7.58599e+002, 7.02177e+002, 7.72159e+002, 1.23408e+003, 1.55007e+003, 1.82586e+003, 4.12991e+003, 4.40715e+003, 1.16638e+004, 1.88746e+004
 1,  31,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606514.200,183006.5142,    6.0, 1.29118e+002, 7.04550e+002, 7.19344e+002, 7.75153e+002, 1.22301e+003, 1.48966e+003, 1.82382e+003, 4.07411e+003, 4.43877e+003, 1.17816e+004, 1.88251e+004
 1,  32,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606614.200,183006.6142,    4.3, 1.48295e+002, 5.83238e+002, 7.65789e+002, 7.89163e+002, 1.17738e+003, 1.58263e+003, 1.81883e+003, 4.05384e+003, 4.42406e+003, 1.18793e+004, 1.88881e+004
 1,  33,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606714.200,183006.7142,    3.3, 1.21433e+002, 6.49431e+002, 8.08352e+002, 7.91381e+002, 1.15050e+003, 1.55147e+003, 1.81194e+003, 4.09623e+003, 4.39378e+003, 1.18209e+004, 1.89094e+004
 1,  34,   344123.34,  4482801.48,   0,0,4, 2114.74, 66606814.200,183006.8142,    4.5, 1.00745e+002, 7.88730e+002, 8.13999e+002, 7.42961e+002, 1.19018e+003, 1.49648e+003, 1.77768e+003, 4.13952e+003, 4.40029e+003, 1.18108e+004, 1.89785e+004
